DIM_TIME;GEO_NAME_SHORT;DIM_SEX;RATE_PER_CAPITA_N
2006;Azerbaijan;FEMALE;0.54767756700000
2008;Azerbaijan;FEMALE;0.55782733400000
2009;Azerbaijan;FEMALE;0.56663436800000
2011;Azerbaijan;FEMALE;0.50617151200000
2012;Azerbaijan;FEMALE;0.42663734000000
2015;Azerbaijan;FEMALE;0.39765997500000
2016;Azerbaijan;FEMALE;0.40028462800000
2014;Armenia;FEMALE;2.16579802500000
2016;Armenia;FEMALE;2.10654365700000
2020;Azerbaijan;FEMALE;0.68108941700000
2003;Georgia;MALE;17.84650787000000
2008;Georgia;MALE;24.82372398000000
2010;Georgia;MALE;25.03354718000000
2012;Georgia;MALE;24.74076232000000
2014;Georgia;MALE;23.66883349000000
2019;Georgia;MALE;24.31489894000000
2002;Azerbaijan;MALE;2.86305428700000
2008;Azerbaijan;MALE;3.46380997700000
2011;Azerbaijan;MALE;3.17412986700000
2013;Azerbaijan;MALE;2.51328130800000
2004;Georgia;MALE;18.89280530000000
2011;Georgia;MALE;25.28097256000000
2015;Georgia;MALE;23.58212205000000
2016;Georgia;MALE;23.66143158000000
2017;Georgia;MALE;23.68759115000000
2018;Georgia;MALE;24.31489894000000
2000;Armenia;FEMALE;1.54892889800000
2006;Armenia;FEMALE;2.13516572400000
2009;Armenia;FEMALE;2.17061294200000
2010;Armenia;FEMALE;2.19883070100000
2020;Armenia;FEMALE;1.82841370200000
2012;Azerbaijan;TOTAL;1.51388415100000
2003;Azerbaijan;FEMALE;0.46868383400000
2014;Azerbaijan;FEMALE;0.39132389500000
2018;Azerbaijan;FEMALE;0.53950776700000
2002;Azerbaijan;FEMALE;0.45631161300000
2007;Azerbaijan;FEMALE;0.58315660700000
2010;Azerbaijan;FEMALE;0.51597908700000
2013;Azerbaijan;FEMALE;0.39543229000000
2001;Georgia;FEMALE;4.39903365400000
2002;Georgia;FEMALE;4.25322742900000
2003;Georgia;FEMALE;4.36355991300000
2004;Georgia;FEMALE;4.64320452400000
2010;Georgia;FEMALE;6.21232623400000
2011;Georgia;FEMALE;6.25353986200000
2013;Georgia;FEMALE;5.88191416000000
2015;Georgia;FEMALE;5.73663792600000
2020;Georgia;FEMALE;5.87447946200000
2000;Azerbaijan;FEMALE;0.45202391000000
2001;Azerbaijan;FEMALE;0.45202391000000
2004;Azerbaijan;FEMALE;0.48694881200000
2005;Azerbaijan;FEMALE;0.51780471500000
2017;Azerbaijan;FEMALE;0.43567396300000
2000;Georgia;FEMALE;4.39903365400000
2006;Georgia;FEMALE;5.69788151000000
2007;Georgia;FEMALE;6.11889231300000
2009;Georgia;FEMALE;6.21735304800000
2012;Georgia;FEMALE;6.09384349600000
2017;Georgia;FEMALE;5.72527489300000
2005;Georgia;FEMALE;5.15037917700000
2008;Georgia;FEMALE;6.18827874200000
2014;Georgia;FEMALE;5.77980334900000
2013;Armenia;FEMALE;2.15340948700000
2015;Armenia;FEMALE;2.15529663900000
2017;Armenia;FEMALE;2.09250544100000
2019;Armenia;FEMALE;2.15099775500000
2003;Armenia;FEMALE;1.70002443400000
2005;Armenia;FEMALE;2.07668664000000
2011;Armenia;FEMALE;2.18746492000000
2012;Armenia;FEMALE;2.13525243500000
2018;Armenia;FEMALE;2.15099775500000
2010;Armenia;MALE;8.61698893000000
2014;Armenia;MALE;8.59059487900000
2015;Armenia;MALE;8.59122121000000
2017;Armenia;MALE;8.42559288200000
2016;Georgia;FEMALE;5.73597903500000
2018;Georgia;FEMALE;5.86466086000000
2019;Georgia;FEMALE;5.86466086000000
2001;Azerbaijan;MALE;2.83315870800000
2003;Azerbaijan;MALE;2.94297237900000
2009;Azerbaijan;MALE;3.52188897500000
2015;Azerbaijan;MALE;2.56644514500000
2016;Azerbaijan;MALE;2.60556535600000
2020;Azerbaijan;MALE;4.44008290500000
2004;Azerbaijan;MALE;3.05617084500000
2006;Azerbaijan;MALE;3.41232801900000
2000;Georgia;MALE;18.04819575000000
2001;Georgia;MALE;18.04819575000000
2002;Georgia;MALE;17.45191806000000
2005;Georgia;MALE;20.82365413000000
2007;Georgia;MALE;24.54728306000000
2013;Georgia;MALE;23.98237102000000
2007;Azerbaijan;MALE;3.61771666700000
2019;Azerbaijan;MALE;3.51456551600000
2002;Armenia;MALE;6.31895909000000
2003;Armenia;MALE;6.81894165000000
2009;Armenia;MALE;8.49285536500000
2011;Armenia;MALE;8.58901473400000
2013;Armenia;MALE;8.50751112900000
2019;Armenia;MALE;8.67359821700000
2006;Georgia;MALE;22.92046017000000
2009;Georgia;MALE;24.97844747000000
2020;Georgia;MALE;24.51076401000000
2001;Armenia;MALE;6.28179389200000
2006;Armenia;MALE;8.37947024000000
2007;Armenia;MALE;8.27824836200000
2012;Armenia;MALE;8.41473427400000
2016;Armenia;MALE;8.44641712800000
2018;Armenia;MALE;8.67359821700000
2005;Armenia;MALE;8.18865321500000
2008;Armenia;MALE;8.31842542200000
2020;Armenia;MALE;7.49402709500000
2000;Azerbaijan;TOTAL;1.56994841200000
2002;Georgia;TOTAL;10.21295807000000
2003;Georgia;TOTAL;10.45621326000000
2005;Georgia;TOTAL;12.26198737000000
2010;Georgia;TOTAL;14.83721673000000
2014;Georgia;TOTAL;14.01715077000000
2011;Armenia;TOTAL;5.02809637100000
2017;Armenia;TOTAL;4.85162832800000
2018;Armenia;TOTAL;4.98389074900000
2000;Georgia;TOTAL;10.56527914000000
2006;Georgia;TOTAL;13.52935510000000
2008;Georgia;TOTAL;14.69563870000000
2005;Armenia;TOTAL;4.84031564600000
2007;Armenia;TOTAL;4.88491683500000
2008;Armenia;TOTAL;4.90085629200000
2013;Armenia;TOTAL;4.95596106500000
2014;Armenia;TOTAL;4.99129124100000
2015;Armenia;TOTAL;4.97720812100000
2016;Armenia;TOTAL;4.87742578700000
2020;Armenia;TOTAL;4.27637281400000
2005;Azerbaijan;TOTAL;1.80680088300000
2007;Azerbaijan;TOTAL;2.02813608200000
2008;Azerbaijan;TOTAL;1.94462248000000
2009;Azerbaijan;TOTAL;1.97932446400000
2017;Azerbaijan;TOTAL;1.59271622600000
2010;Azerbaijan;TOTAL;1.81272368000000
2014;Azerbaijan;TOTAL;1.40479347500000
2015;Azerbaijan;TOTAL;1.43723442600000
2018;Azerbaijan;TOTAL;1.96778841300000
2019;Azerbaijan;TOTAL;1.96778841300000
2020;Azerbaijan;TOTAL;2.48819003000000
2004;Armenia;TOTAL;4.48778472600000
2012;Armenia;TOTAL;4.91322099400000
2019;Armenia;TOTAL;4.98389074900000
2000;Armenia;TOTAL;3.71294967400000
2001;Azerbaijan;TOTAL;1.56994841200000
2002;Azerbaijan;TOTAL;1.58798157400000
2003;Azerbaijan;TOTAL;1.63422095900000
2004;Azerbaijan;TOTAL;1.70006943800000
2006;Azerbaijan;TOTAL;1.90790719400000
2011;Azerbaijan;TOTAL;1.78308789400000
2013;Azerbaijan;TOTAL;1.40981895000000
2016;Azerbaijan;TOTAL;1.45770051200000
2013;Georgia;TOTAL;14.21556237000000
2016;Georgia;TOTAL;13.97379443000000
2020;Georgia;TOTAL;14.41024180000000
2001;Georgia;TOTAL;10.56527914000000
2004;Georgia;TOTAL;11.09426755000000
2015;Georgia;TOTAL;13.94712870000000
2018;Georgia;TOTAL;14.32855898000000
2019;Georgia;TOTAL;14.32855898000000
2007;Georgia;TOTAL;14.51563585000000
2009;Georgia;TOTAL;14.79856606000000
2011;Georgia;TOTAL;14.98846607000000
2012;Georgia;TOTAL;14.66901212000000
2017;Georgia;TOTAL;13.97209778000000
2002;Armenia;TOTAL;3.73147350500000
2001;Armenia;TOTAL;3.71294967400000
2003;Armenia;TOTAL;4.02724768700000
2006;Armenia;TOTAL;4.95068479900000
2009;Armenia;TOTAL;4.99423213900000
2010;Armenia;TOTAL;5.05578553900000
2005;Azerbaijan;MALE;3.24019698800000
2010;Azerbaijan;MALE;3.22634045100000
2012;Azerbaijan;MALE;2.69744048900000
2014;Azerbaijan;MALE;2.50636871400000
2017;Azerbaijan;MALE;2.84753103600000
2018;Azerbaijan;MALE;3.51456551600000
2000;Azerbaijan;MALE;2.83315870800000
2000;Armenia;MALE;6.28179389200000
2004;Armenia;MALE;7.59373760200000
2019;Azerbaijan;FEMALE;0.53950776700000
2001;Armenia;FEMALE;1.54892889800000
2002;Armenia;FEMALE;1.56283909900000
2004;Armenia;FEMALE;1.91190854700000
2007;Armenia;FEMALE;2.11381900100000
2008;Armenia;FEMALE;2.12582938200000
