"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
Date,percentage_of_population,annual_change
12/31/2000,82.3507,
12/31/2001,82.4586,0.11
12/31/2002,82.5738,0.12
12/31/2003,82.6919,0.12
12/31/2004,82.8106,0.12
12/31/2005,82.9298,0.12
12/31/2006,83.0496,0.12
12/31/2007,83.1699,0.12
12/31/2008,83.2909,0.12
12/31/2009,83.2662,-0.02
12/31/2010,83.2416,-0.02
12/31/2011,83.2172,-0.02
12/31/2012,83.1929,-0.02
12/31/2013,83.169,-0.02
12/31/2014,83.1453,-0.02
12/31/2015,83.0782,-0.07
12/31/2016,82.9347,-0.14
12/31/2017,82.7915,-0.14
12/31/2018,82.9598,0.17
12/31/2019,82.8228,-0.14
12/31/2020,82.6858,-0.14
12/31/2021,82.5488,-0.14
12/31/2022,82.4117,-0.14
