"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,
,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,
,,
Date,percentage_of_population,nnual_change
12/31/2000,64.1166,
12/31/2001,64.0628,-0.05
12/31/2002,64.1472,0.08
12/31/2003,64.3997,0.25
12/31/2004,64.6513,0.25
12/31/2005,64.9018,0.25
12/31/2006,65.152,0.25
12/31/2007,65.4016,0.25
12/31/2008,65.6502,0.25
12/31/2009,65.898,0.25
12/31/2010,66.1452,0.25
12/31/2011,66.3914,0.25
12/31/2012,66.6372,0.25
12/31/2013,66.8816,0.24
12/31/2014,67.1254,0.24
12/31/2015,67.3684,0.24
12/31/2016,67.6146,0.25
12/31/2017,67.8628,0.25
12/31/2018,68.1138,0.25
12/31/2019,68.3672,0.25
12/31/2020,68.6234,0.26
12/31/2021,68.8815,0.26
12/31/2022,69.1419,0.26
